,Datetime,Tweet Id,Text,Username
0,2021-05-30 20:44:02+00:00,1399104335275978755,@daak99 @CYBTRAFFIC,HYDTP
1,2021-05-30 19:07:38+00:00,1399080077619449856,"@keshavbang56 Sir, please contact on Ph. No : 040-27852721, 040-27852772
Email : echallanhelpdesk.hyd@gmail.com",HYDTP
2,2021-05-30 19:06:00+00:00,1399079664002355201,"@MohdMus27163166 Sir, we will look into.",HYDTP
3,2021-05-30 19:02:05+00:00,1399078678781255685,"@HyderAliHashmii @hydcitypolice @FahadMaqsusi @MohdFasiuddin10 @CPHydCity @shomirchowk @Safder_110 @VijayGopal_ @JustHydThings @TheWritter16 @Asifyarrkhan @infomubashir Sir, Noted. Action will be taken.",HYDTP
4,2021-05-30 13:29:01+00:00,1398994860061855748,@SaiAbhinavRedd1 @HanumaSriKalyan @shonallakunta @ManchirajuSai @hydcitypolice @the_hindu @TV9Telangana @TelanganaCMO Sir we will look into it,HYDTP
5,2021-05-30 10:54:57+00:00,1398956090558087169,@bharchakri @KTRTRS @CYBTRAFFIC Sir it is enough,HYDTP
6,2021-05-30 10:53:52+00:00,1398955817508827138,@SaiAbhinavRedd1 Sir we are conducting drives in this regard,HYDTP
7,2021-05-30 10:53:13+00:00,1398955652064563201,@KadaliNataraj Sir for. Spot challan ni image is available,HYDTP
8,2021-05-30 09:11:19+00:00,1398930009281028098,@SakiSAKET @CYBTRAFFIC @TelanganaCOPs @cyberabadpolice @RachakondaCop Noted sir,HYDTP
9,2021-05-30 07:32:23+00:00,1398905111745679363,"@srikanrh @hydcitypolice Sir, please contact on Ph. No : 040-27852721, 040-27852772
Email : echallanhelpdesk.hyd@gmail.com",HYDTP
10,2021-05-30 07:31:09+00:00,1398904802596122627,"@Isaikiranmekala Sir, please contact on Ph. No : 040-27852721, 040-27852772
Email : echallanhelpdesk.hyd@gmail.com",HYDTP
11,2021-05-30 07:30:41+00:00,1398904681833795586,"@Abhishek_Reddy9 @CYBTRAFFIC Sir, Noted.",HYDTP
12,2021-05-30 07:30:20+00:00,1398904595166883841,@MohanMsw @CYBTRAFFIC,HYDTP
13,2021-05-30 07:29:30+00:00,1398904386533822467,"@Vaibhav59415946 @CYBTRAFFIC Sir, Noted.",HYDTP
14,2021-05-30 07:29:00+00:00,1398904259358302208,@Harikrishna_ASG @CYBTRAFFIC,HYDTP
15,2021-05-30 07:28:17+00:00,1398904078361456640,"@Praveensahuhyd @CEC_EVDM Sir, Noted.",HYDTP
16,2021-05-30 07:27:27+00:00,1398903868386279428,"@Mushtaq3044 @CPHydCity @KTRTRS Sir, please contact on Ph. No : 040-27852721, 040-27852772
Email : echallanhelpdesk.hyd@gmail.com",HYDTP
17,2021-05-30 07:26:45+00:00,1398903694330974209,@urstrulysai8 @urstrulyAndy @CYBTRAFFIC @hydcitypolice @CYBTRAFFIC,HYDTP
18,2021-05-29 17:37:22+00:00,1398694970026983425,@Chandra07619638 @CYBTRAFFIC @cyberabadpolice @spvikarabad,HYDTP
19,2021-05-29 08:49:25+00:00,1398562109072367618,@ritikahyd @HYDTraffic E-pass may not be required. Please show  Covid 19 vaccination appointment slip at the check posts to commute.,HYDTP
20,2021-05-29 07:48:03+00:00,1398546667398332425,@CYBTRAFFIC @Lavanya74461447 @hydcitypolice,HYDTP
21,2021-05-29 07:30:05+00:00,1398542144760025090,"@gunakar3 @sakinah110 @hydcitypolice @KTRTRS @TelanganaPolice @TelanganaDGP @cyberabadpolice @CPHydCity Sir,
Sec 129 r/w Sec 177 of MV Act 1988 for Without Helmet Fine of Rs100/- for First offence, and for Second or Subsequent offences. Rs 200/-",HYDTP
22,2021-05-29 07:28:34+00:00,1398541764294709249,"@yvchowdarysvmk Sir, please contact on Ph. No : 040-27852721, 040-27852772
Email : echallanhelpdesk.hyd@gmail.com",HYDTP
23,2021-05-29 06:48:27+00:00,1398531666423865344,"@cssaiagarwal Good Morning Sir, Chaderghat Signal is working sir. I confirmed with point duty person.",HYDTP
24,2021-05-29 06:31:11+00:00,1398527320260890631,"@murthybadri Sir,
Your request has been rectified.",HYDTP
25,2021-05-29 06:16:25+00:00,1398523605709824006,"@cssaiagarwal Sir, Noted.",HYDTP
26,2021-05-29 06:14:09+00:00,1398523034160353285,@CitizenPolize @surg982 @hydcitypolice @TelanganaCOPs @CYBTRAFFIC,HYDTP
